Store,Dept,Total_Actual_Sales,Historical_Mean_WMAE,Naive_WMAE,Seasonal_Naive_WMAE,Best_Model
23,50,92820.0,1008.489312977099,1252.125,1300.625,Historical Mean
23,52,30721.2,632.9634446564886,577.67625,565.93625,Seasonal Naive
23,54,641.28,210.1393893129771,27.462500000000002,107.06125,Naive Forecast
23,55,113114.72000000002,7081.398702290076,2063.70375,2041.86625,Seasonal Naive
23,56,50578.880000000005,4247.529160305343,2713.2612499999996,1038.5200000000002,Seasonal Naive
23,58,54865.0,2043.3456496063,1293.4375,1575.3125,Naive Forecast
23,59,5600.04,1029.2250572519083,58.30875,133.54625,Naive Forecast
23,60,1548.0,26.199367088607595,45.525,30.725000000000005,Historical Mean
23,67,154467.27,1597.5551288167946,566.488125,885.6656250000003,Naive Forecast
23,71,170316.88999999998,3359.941073473283,3194.0143750000007,1496.2143749999996,Seasonal Naive
23,72,825850.69,9513.245691793893,6486.855624999998,10560.265625,Naive Forecast
23,74,542729.03,8897.283945610683,6901.293125000001,2910.871874999998,Seasonal Naive
23,79,347747.74,2217.8952385496186,2556.5600000000004,1868.40125,Seasonal Naive
23,80,19776.7,734.7200833333333,318.2287500000001,203.48000000000002,Seasonal Naive
23,81,107426.45999999999,535.4207156488545,459.5387499999998,657.89625,Naive Forecast
23,82,296617.01,2503.8943750000008,1514.9443749999996,3699.2374999999997,Naive Forecast
23,83,9428.279999999999,256.6364147286822,391.2325,284.130625,Historical Mean
23,85,58023.08,857.4111832061068,1147.21375,751.0924999999997,Seasonal Naive
23,87,449923.57999999996,6544.021688931298,2335.3675000000017,2771.275625,Naive Forecast
23,90,295477.14,4986.225429389312,1985.2675000000002,2227.54375,Naive Forecast
23,91,274353.11,4841.804489503815,3010.9318749999993,1676.3456249999997,Seasonal Naive
23,92,899021.9799999999,17826.33130725191,3770.729999999997,8228.04,Naive Forecast
23,93,30930.160000000003,857.6494961240307,865.4000000000002,616.83875,Seasonal Naive
23,94,2142.9799999999996,267.4766279069767,271.9633333333333,200.98666666666668,Seasonal Naive
23,95,704380.76,7133.12378816794,5373.525000000001,2221.533750000002,Seasonal Naive
23,96,190953.09,3240.581140267177,2373.876874999999,1038.0006250000001,Seasonal Naive
23,97,90255.22000000002,1750.2902385496186,1030.9462500000004,648.1187500000003,Seasonal Naive
23,98,1242.15,78.11104166666665,89.994375,69.27125,Seasonal Naive
24,1,206827.34000000003,3324.819265267174,2274.845,1581.7900000000002,Seasonal Naive
24,2,500274.54,3990.063759541984,6290.865,2169.2781250000003,Seasonal Naive
24,3,223833.37,14612.78002385496,12575.083125,2349.431874999999,Seasonal Naive
24,4,367309.42000000004,2335.033187022903,4780.26375,1805.9018749999998,Seasonal Naive
24,5,273591.73000000004,7743.615978053438,2194.0231249999997,3864.4343750000003,Naive Forecast
24,6,44657.9,1160.396927480916,1142.0499999999997,1466.3062499999996,Naive Forecast
24,7,274461.11,6600.86346851145,2070.9593749999985,2995.926874999999,Naive Forecast
24,8,634497.5599999999,4498.042729007637,1688.0899999999988,2587.3606249999993,Naive Forecast
24,9,344634.24999999994,6206.834976145037,3474.176875,6147.751875,Naive Forecast
24,10,328012.42000000004,1605.767805343512,1901.332500000001,2564.4025,Historical Mean
24,11,165031.03,4003.9775524809174,1275.6431249999996,2654.8868749999992,Naive Forecast
24,12,58089.59,773.370586832061,421.89937500000013,568.4168749999998,Naive Forecast
24,13,376069.22000000003,2939.086020992367,2010.9675,2328.9924999999994,Naive Forecast
24,14,199935.19999999998,1433.7462499999997,1433.7462499999997,1766.1837499999988,Historical Mean
24,16,123344.06999999998,10854.457552480917,11429.173125,630.9387499999993,Seasonal Naive
24,17,165190.52999999997,769.6729055343512,1461.5118750000001,1160.8412500000004,Historical Mean
24,18,63562.97,5460.601831521739,4229.124375,1555.6893695652177,Seasonal Naive
24,19,719.96,35.34128816793891,82.7375,39.95312499999999,Historical Mean
24,20,66716.18,814.3734732824429,2166.0962500000005,536.860625,Seasonal Naive
24,21,72351.15999999999,620.58,1080.7200000000005,462.60124999999977,Seasonal Naive
24,22,149577.57,1244.3987547709926,1816.3831249999998,1949.9825000000003,Historical Mean
24,23,330084.97000000003,3204.2056249999996,3204.2056249999996,4798.873124999998,Historical Mean
24,24,80637.61000000002,2918.2590314885497,3388.734375,912.5162500000001,Seasonal Naive
24,25,142347.13999999998,1819.3644465648854,2043.80375,1996.9306250000004,Historical Mean
24,26,100504.67,709.9051479007635,1917.2493750000003,1233.2975000000001,Historical Mean
24,27,22923.239999999998,343.2660973282443,580.3575000000001,321.4187499999999,Seasonal Naive
24,28,7545.620000000001,159.22931297709923,300.32124999999996,99.06562499999998,Seasonal Naive
24,29,62214.89,733.3548998091603,865.9718749999997,342.19374999999997,Seasonal Naive
24,30,43305.15,673.9976956106868,986.1693750000004,674.9331250000001,Historical Mean
24,31,35945.25,1577.5494704198472,1486.873125,236.90187500000005,Seasonal Naive
24,32,66041.32,1281.5189122137404,891.9937500000002,540.739375,Seasonal Naive
24,33,80053.25,2281.040176526718,2627.539375,1544.6631249999998,Seasonal Naive
24,34,193140.13999999996,1339.2439122137398,1699.2662500000015,1268.136249999999,Seasonal Naive
24,35,34396.22,596.6394179389312,961.5674999999999,691.5162499999999,Historical Mean
24,36,10322.779999999999,1246.204704198473,291.38,271.445,Seasonal Naive
24,37,37652.33,324.72602576335885,273.32937499999997,319.8975,Naive Forecast
24,38,681267.53,3708.1987929389334,6414.961875000002,14448.914999999997,Historical Mean
24,40,569621.0399999999,3016.863311068701,2884.637499999995,3504.7818750000015,Naive Forecast
24,41,20024.13,448.2861211832061,453.775625,594.27125,Historical Mean
24,42,75646.29000000001,706.1274188931297,602.743125,604.2962499999999,Naive Forecast
24,44,57133.96000000001,269.99846374045774,362.8425,413.60562499999986,Historical Mean
24,46,174648.03999999998,1612.6579484732827,1863.8112499999997,690.643125,Seasonal Naive
24,49,54279.45999999999,1085.5093320610686,838.6337499999998,1364.196875,Naive Forecast
