Store,Dept,Error_Mean,Error_SD,Error_MAE,N,Shrunk_Error_SD,Safety_Stock_95
3.0,36.0,-139.52711289608567,138.4037961730281,139.52711289608567,4,1935.0916229606512,3182.942474510238
3.0,38.0,581.1592274484683,6067.977183549552,4481.037421417004,4,4705.866055668596,7740.460849614309
3.0,40.0,-112.4859844474604,614.3941262230547,490.1634106854408,4,1980.843723018964,3258.1979822318003
3.0,41.0,-27.937780125867306,239.6884494499872,175.0823304893198,4,1940.032747211965,3191.069900656229
3.0,42.0,801.3577246543857,886.9267574640086,995.8670428697726,4,2031.8270892001967,3342.058157009196
3.0,44.0,-107.11956388909823,303.34915594592985,256.9866071077071,4,1944.4824861801887,3198.3890699370995
3.0,46.0,-224.73288206182133,421.6220697663935,384.88972465019424,4,1955.4754840478015,3216.470942350712
3.0,49.0,-25.896057198922442,13.311789641796254,25.896057198922442,4,1932.638193177054,3178.9069416322172
3.0,52.0,-72.89910478125066,159.17075960436617,107.95696236990236,4,1935.8898339552925,3184.255414759846
3.0,54.0,-36.55767722684411,59.90533644046995,51.76270291618423,3,2066.424801398424,3398.966329402673
3.0,55.0,365.7959046313838,948.7424444066457,809.4209542497449,4,2045.7414051546893,3364.945170073492
3.0,56.0,-35.5570373321239,374.5474860454326,270.26302623875364,4,1950.6780086693989,3208.579797574336
3.0,59.0,-18.416732034366245,11.176370466656843,18.416732034366245,3,2066.065584791189,3398.3754706634018
3.0,60.0,-19.594251975278375,34.82917517470139,28.40214569451559,4,1932.7721851207941,3179.1273387668602
3.0,67.0,-117.55287774835074,177.41439106881703,140.03229160935564,4,1936.6826577769766,3185.559493898477
3.0,71.0,217.09089260659488,158.47307702577396,217.09089260659488,4,1935.8612145311301,3184.2083399962116
3.0,72.0,1474.7222106062372,2629.602975711152,2535.774048846447,4,2681.8664561811065,4411.277767448984
3.0,74.0,-91.78453461122604,457.46745856320547,324.40691520543555,4,1959.4999417394922,3223.090586181402
3.0,79.0,-319.223636517607,752.4904337092225,527.3840572521724,4,2004.5255573992767,3297.151133405122
3.0,81.0,120.58541557431784,121.02696203238277,133.04391205455784,4,1934.5091229105974,3181.9843471902072
3.0,82.0,747.598854438148,253.07388122340114,747.598854438148,4,1940.882525691257,3192.4676618699978
3.0,85.0,-195.25079084349954,365.33702773212997,355.42032644433107,4,1949.8044403916533,3207.1429056242964
3.0,87.0,409.78751564560025,351.9135747972989,409.78751564560025,4,1948.5695691758715,3205.1117232262
3.0,90.0,-81.20174249068344,44.50058840381695,81.20174249068344,4,1932.871422272852,3179.290569356351
3.0,91.0,-39.31761985119756,37.40522162151256,39.31761985119756,4,1932.79625391742,3179.1669284142868
3.0,92.0,-111.10403807216562,318.0093119893179,275.11677411656046,4,1945.653295196987,3200.3148793948476
3.0,94.0,-554.9961365747157,2733.130726421601,554.9961365747157,1,2733.130726421601,4495.599988287083
3.0,95.0,310.71540710397767,700.6526224978924,523.2488259296688,4,1995.1087270024964,3281.661825772591
3.0,96.0,366.2722013613711,148.2284346063869,366.2722013613711,4,1935.4554033270476,3183.540839965319
3.0,97.0,48.05948726650303,29.999499582597256,48.05948726650303,4,1932.7316856828672,3179.0607231194967
4.0,1.0,-815.6965003196101,2182.3530668702006,2004.1596477763478,4,2473.1223661787985,4067.9242939040037
4.0,2.0,847.4576724432336,3973.251098464267,2531.177370596488,4,3410.038699132121,5609.014522312349
4.0,3.0,3903.512714908574,10164.0156762887,6648.553320343105,4,7442.352391399922,12241.580324045124
4.0,4.0,-179.22710115735754,1480.3802833691095,1264.3691988272585,4,2197.900060409694,3615.223886041745
